service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2025_08_11-DX-MVS-Weekday-003,1,1,1,1,1,0,0,20250811,20251231
2025_08_11-SA-MVS-Saturday-000,0,0,0,0,0,1,0,20250816,20251227
2025_08_11-SU-MVS-Sunday-000,0,0,0,0,0,0,1,20250817,20251228
2025_08_11-SU-MVS-Sunday-010,0,0,0,0,0,0,1,20251019,20251019
2025_08_11-SU-MVS-Sunday-011,0,0,0,0,0,0,1,20251109,20251109
2025_08_11-DX19-Weekday-001,1,1,1,1,1,0,0,20250811,20251231
2025_08_11-SA19-Saturday-001,0,0,0,0,0,1,0,20250816,20251227
2025_08_11-SU19-Sunday-001,0,0,0,0,0,0,1,20250817,20251228
2025_08_11-DX20-Weekday-001,1,1,1,1,1,0,0,20250811,20251231
2025_08_11-SA20-Saturday-001,0,0,0,0,0,1,0,20250816,20251227
2025_08_11-SU20-Sunday-001,0,0,0,0,0,0,1,20250817,20251228
